"id","airport_type","name","country","city","iso_region","municipality","gps_code","iata_code","altitude","continent","local_code","coordinates"
3187,medium_airport,Wendover Airport,US,Wendover,US-UT,"",KENV,ENV,"4237",NA,ENV,"-114.03099823, 40.7187004089"
3188,medium_airport,Kenosha Regional Airport,US,Kenosha,US-WI,"",KENW,ENW,"742",NA,ENW,"-87.92780304, 42.59569931"
3189,small_airport,Keokuk Municipal Airport,US,Keokuk,US-IA,"",KEOK,EOK,"671",NA,EOK,"-91.4284973145, 40.459899902299995"
3190,small_airport,Ephrata Municipal Airport,US,Ephrata,US-WA,"",KEPH,EPH,"1276",NA,EPH,"-119.5159988, 47.30759811"
3191,small_airport,Captain Jack Thomas El Dorado Airport,US,El Dorado,US-KS,"",KEQA,EDK,"1378",NA,EQA,"-96.81759643550001, 37.7741012573"
3192,large_airport,Erie International Tom Ridge Field,US,Erie,US-PA,"",KERI,ERI,"732",NA,ERI,"-80.1738667488, 42.0831270134"
3193,small_airport,Errol Airport,US,Errol,US-NH,"",KERR,ERR,"1245",NA,ERR,"-71.1641998291, 44.7924995422"
3194,small_airport,Kerrville Municipal Louis Schreiner Field,US,Kerrville,US-TX,"",KERV,ERV,"1617",NA,ERV,"-99.08570098879999, 29.9766998291"
3195,small_airport,Delta County Airport,US,Escanaba,US-MI,"",KESC,ESC,"609",NA,ESC,"-87.0936965942, 45.7226982117"
3196,medium_airport,Esler Regional Airport,US,Alexandria,US-LA,"",KESF,ESF,"112",NA,ESF,"-92.2957992554, 31.3948993683"
3197,small_airport,Easton Newnam Field,US,Easton,US-MD,"",KESN,ESN,"72",NA,ESN,"-76.06900024410001, 38.8041992188"
3198,small_airport,Estherville Municipal Airport,US,Estherville,US-IA,"",KEST,EST,"1319",NA,EST,"-94.74639893, 43.40739822"
3199,small_airport,Easton State Airport,US,Easton,US-WA,"",KESW,ESW,"2226",NA,ESW,"-121.185997009, 47.2541999817"
3200,small_airport,West Bend Municipal Airport,US,West Bend,US-WI,"",KETB,ETB,"887",NA,ETB,"-88.1278991699, 43.4221992493"
3201,small_airport,Eastland Municipal Airport,US,Eastland,US-TX,"",KETN,ETN,"1464",NA,ETN,"-98.80979919430001, 32.4135017395"
3202,small_airport,Weedon Field,US,Eufaula,US-AL,"",KEUF,EUF,"285",NA,EUF,"-85.1288986206, 31.9512996674"
3203,medium_airport,Mahlon Sweet Field,US,Eugene,US-OR,"",KEUG,EUG,"374",NA,EUG,"-123.21199798583984, 44.12459945678711"
3204,small_airport,Eveleth Virginia Municipal Airport,US,Eveleth,US-MN,"",KEVM,EVM,"1379",NA,EVM,"-92.49849701, 47.42509842"
3205,medium_airport,Evansville Regional Airport,US,Evansville,US-IN,"",KEVV,EVV,"418",NA,EVV,"-87.5324020386, 38.0369987488"
3206,medium_airport,Evanston-Uinta County Airport-Burns Field,US,Evanston,US-WY,"",KEVW,EVW,"7143",NA,EVW,"-111.0350037, 41.27479935"
3207,medium_airport,New Bedford Regional Airport,US,New Bedford,US-MA,"",KEWB,EWB,"80",NA,EWB,"-70.95690155029297, 41.67610168457031"
3208,small_airport,Newton City-County Airport,US,Newton,US-KS,"",KEWK,EWK,"1533",NA,EWK,"-97.2744979858, 38.058200836199994"
3209,medium_airport,Coastal Carolina Regional Airport,US,New Bern,US-NC,"",KEWN,EWN,"18",NA,EWN,"-77.04290008539999, 35.0730018616"
3210,large_airport,Newark Liberty International Airport,US,Newark,US-NJ,"",KEWR,EWR,"18",NA,EWR,"-74.168701171875, 40.692501068115234"
3211,small_airport,Kanabea Airport,PG,Kanabea,PG-GPK,"",AYNB,KEX,"4288",OC,KEA,"145.905, -7.538888888890001"
3212,medium_airport,Key West International Airport,US,Key West,US-FL,"",KEYW,EYW,"3",NA,EYW,"-81.75959777832031, 24.556100845336914"
3213,seaplane_base,Kelani-Peliyagoda Seaplane Base,LK,Colombo,LK-1,"","",KEZ,"",AS,"","79.93, 6.95"
3214,small_airport,Wilbarger County Airport,US,Vernon,US-TX,"",F05,WIB,"1265",NA,F05,"-99.2837982178, 34.2257003784"
3215,small_airport,French Valley Airport,US,Murrieta/Temecula,US-CA,"",F70,RBK,"1350",NA,F70,"-117.127998352, 33.5741996765"
3216,medium_airport,Felker Army Air Field,US,Fort Eustis,US-VA,"",KFAF,FAF,"12",NA,FAF,"-76.60880279540001, 37.132499694799996"
3217,small_airport,Farmington Regional Airport,US,Farmington,US-MO,"",KFAM,FAM,"946",NA,FAM,"-90.4285965, 37.76110077"
3218,medium_airport,Hector International Airport,US,Fargo,US-ND,"",KFAR,FAR,"902",NA,FAR,"-96.81580352783203, 46.92070007324219"
3219,medium_airport,Fresno Yosemite International Airport,US,Fresno,US-CA,"",KFAT,FAT,"336",NA,FAT,"-119.71800231933594, 36.77619934082031"
3220,medium_airport,Fayetteville Regional Grannis Field,US,Fayetteville,US-NC,"",KFAY,FAY,"189",NA,FAY,"-78.88030242919922, 34.9911994934082"
3221,medium_airport,Simmons Army Air Field,US,Fort Bragg,US-NC,"",KFBG,FBG,"244",NA,FBG,"-78.93669891, 35.13180161"
3222,small_airport,Faribault Municipal Airport-Liz Wall Strohfus Field,US,Faribault,US-MN,"",KFBL,FBL,"1060",NA,FBL,"-93.312534, 44.32844"
3223,small_airport,Fort Bridger Airport,US,Fort Bridger,US-WY,"",KFBR,FBR,"7034",NA,FBR,"-110.406997681, 41.3918991089"
3224,small_airport,Fairbury Municipal Airport,US,Fairbury,US-NE,"",KFBY,FBY,"1479",NA,FBY,"-97.16929626459999, 40.182998657199995"
3225,small_airport,Fresno Chandler Executive Airport,US,Fresno,US-CA,"",KFCH,FCH,"279",NA,FCH,"-119.8199997, 36.73239899"
3226,small_airport,Flying Cloud Airport,US,Minneapolis,US-MN,"",KFCM,FCM,"906",NA,FCM,"-93.45709991460001, 44.8272018433"
3227,medium_airport,Butts AAF (Fort Carson) Air Field,US,Fort Carson,US-CO,"",KFCS,FCS,"5838",NA,FCS,"-104.7570038, 38.67839813"
3228,small_airport,Forrest City Municipal Airport,US,Forrest City,US-AR,"",KFCY,FCY,"249",NA,FCY,"-90.7750015259, 34.942001342800005"
3229,small_airport,Frederick Municipal Airport,US,Frederick,US-MD,"",KFDK,FDK,"303",NA,FDK,"-77.3742980957, 39.417598724399994"
3230,small_airport,Frederick Regional Airport,US,Frederick,US-OK,"",KFDR,FDR,"1258",NA,FDR,"-98.98390198, 34.35200119"
3231,medium_airport,Findlay Airport,US,Findlay,US-OH,"",KFDY,FDY,"813",NA,FDY,"-83.66870117190001, 41.013500213600004"
3232,small_airport,Albertus Airport,US,Freeport,US-IL,"",KFEP,FEP,"859",NA,FEP,"-89.58200073239999, 42.2462005615"
3233,small_airport,Fremont Municipal Airport,US,Fremont,US-NE,"",KFET,FET,"1204",NA,FET,"-96.52020264, 41.44910049"
3234,small_airport,First Flight Airport,US,Kill Devil Hills,US-NC,"",KFFA,FFA,"13",NA,FFA,"-75.67130279540001, 36.0181999207"
3235,small_airport,Fairfield Municipal Airport,US,Fairfield,US-IA,"",KFFL,FFL,"799",NA,FFL,"-91.9788970947, 41.0532989502"
3236,small_airport,Fergus Falls Municipal Airport - Einar Mickelson Field,US,Fergus Falls,US-MN,"",KFFM,FFM,"1183",NA,FFM,"-96.15670013, 46.28440094"
3237,large_airport,Wright-Patterson Air Force Base,US,Dayton,US-OH,"",KFFO,FFO,"823",NA,FFO,"-84.0483016968, 39.8260993958"
